MONUMENT_RECORD_NO,LATITUDE,LONGITUDE
1038M,51.455887,-2.5882949
1040M,51.457264,-2.5934365
365M,51.45532,-2.5920152
1249M,51.461308,-2.5973322
1250M,51.461163,-2.5975318
1252M,51.461055,-2.5977031
1253M,51.451397,-2.5816461
1254M,51.450023,-2.583226
1255M,51.450412,-2.582828
1256M,51.448736,-2.5817274
1478M,51.460447,-2.5916066
361M,51.454672,-2.593849
362M,51.454898,-2.5918227
364M,51.45532,-2.5920296
668M,51.454072,-2.5952516
66M,51.45473,-2.5966706
672M,51.452114,-2.5839722
673M,51.45387,-2.5888447
674M,51.45224,-2.5894569
675M,51.450022,-2.5959472
676M,51.44906,-2.5976759
677M,51.452188,-2.5925647
822M,51.459332,-2.5934777
823M,51.459304,-2.5935925
824M,51.459213,-2.593764
826M,51.458073,-2.5881791
828M,51.457341,-2.5907172
830M,51.457814,-2.5913278
766M,51.44827,-2.593881
767M,51.448412,-2.5779962
724M,51.456705,-2.5882767
893M,51.455849,-2.5922092
894M,51.455885,-2.5921952
1352M,51.450136,-2.6224275
1353M,51.450512,-2.6209504
1119M,51.451584,-2.5911466
5106M,51.459082,-2.5749357
1466M,51.463724,-2.5890579
1468M,51.462677,-2.5897497
1604M,51.459669,-2.5890488
1605M,51.459606,-2.5890049
23M,51.451877,-2.5935393
1259M,51.450687,-2.5925309
1260M,51.452692,-2.5923986
1261M,51.453125,-2.592289
194M,51.455395,-2.5949378
852M,51.453514,-2.5882356
196M,51.454961,-2.5954935
197M,51.454567,-2.5844065
749M,51.449638,-2.5988491
74M,51.460101,-2.5872264
750M,51.446146,-2.6168477
448M,51.452186,-2.5893123
449M,51.452222,-2.5893415
44M,51.458479,-2.5985762
1537M,51.457178,-2.5782509
1538M,51.451612,-2.5996953
853M,51.453469,-2.5882063
1175M,51.449988,-2.6043221
534M,51.455756,-2.5894158
553M,51.456133,-2.5966026
554M,51.456273,-2.5974248
555M,51.456515,-2.5974279
556M,51.456551,-2.5974284
558M,51.459079,-2.5793113
559M,51.454138,-2.592849
1096M,51.46045,-2.5820203
1097M,51.458286,-2.5958678
1098M,51.462066,-2.5896843
1099M,51.451129,-2.5974152
1101M,51.457954,-2.5956476
1118M,51.450998,-2.5914844
1176M,51.454602,-2.5953737
1177M,51.455656,-2.5824486
1178M,51.461437,-2.5932171
1179M,51.461259,-2.5929269
1180M,51.460334,-2.578334
1182M,51.461938,-2.5883584
1184M,51.455392,-2.5792934
1185M,51.451604,-2.5853904
1187M,51.451805,-2.5827738
1188M,51.452126,-2.5870809
678M,51.452175,-2.5934136
793M,51.449136,-2.5898054
794M,51.448893,-2.5898743
795M,51.456938,-2.5920074
185M,51.450078,-2.590163
187M,51.455368,-2.5896699
188M,51.451882,-2.5891213
189M,51.449015,-2.5976897
18M,51.451897,-2.5932517
191M,51.455079,-2.5951928
193M,51.455106,-2.5952507
679M,51.452223,-2.5926947
67M,51.456163,-2.6048355
680M,51.451926,-2.596375
681M,51.455311,-2.5902592
682M,51.454719,-2.5934179
837M,51.452862,-2.5926598
838M,51.452817,-2.592688
1458M,51.452807,-2.6103174
1459M,51.453773,-2.6096107
1460M,51.454027,-2.6092111
1461M,51.453018,-2.6094999
1465M,51.451747,-2.5944155
1621M,51.447856,-2.6217633
1622M,51.459117,-2.6056374
1623M,51.461293,-2.5788068
1625M,51.460321,-2.5790104
876M,51.455432,-2.5965934
877M,51.455522,-2.596537
879M,51.455204,-2.5917547
87M,51.452223,-2.5856718
882M,51.459467,-2.5899099
883M,51.457203,-2.5912912
450M,51.452249,-2.5893707
1589M,51.460064,-2.5891115
451M,51.450554,-2.5866721
1227M,51.458902,-2.5931843
1229M,51.457646,-2.5944058
1230M,51.446663,-2.586133
1231M,51.446851,-2.586452
1232M,51.452211,-2.5898019
1233M,51.452184,-2.5898735
1234M,51.452217,-2.5867798
1235M,51.453212,-2.5909805
1590M,51.459304,-2.5917645
1591M,51.459341,-2.591693
1768M,51.476735,-2.6186715
1770M,51.477589,-2.6014903
1771M,51.474195,-2.6057219
1772M,51.49333,-2.5879271
1774M,51.502631,-2.6371753
1775M,51.440074,-2.5983067
1262M,51.460325,-2.6014936
1302M,51.457006,-2.5856323
1606M,51.459543,-2.5889465
